"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"1011052-20","","丸目(2)","","33.21874","130.26453","1011052-20","","0","1011052","",""
"1011053-04","","本庄江橋(4)","","33.21919","130.25688","1011053-04","","0","1011053","",""
"1011054-20","","久保田橋(2)","","33.21989","130.24843","1011054-20","","0","1011054","",""
"1011055-20","","久富(2)","","33.21999","130.24654","1011055-20","","0","1011055","",""
"1011056-20","","くぼた特産物直売所前(2)","","33.21982","130.24345","1011056-20","","0","1011056","",""
"1011055-10","","久富(1)","","33.22015","130.2466","1011055-10","","0","1011055","",""
"1011054-10","","久保田橋(1)","","33.21992","130.24913","1011054-10","","0","1011054","",""
"1011053-03","","本庄江橋(3)","","33.21929","130.25804","1011053-03","","0","1011053","",""
"1011052-10","","丸目(1)","","33.21886","130.26448","1011052-10","","0","1011052","",""
"1011051-10","","高太郎橋(1)","","33.22279","130.26773","1011051-10","","0","1011051","",""
"1011050-10","","ブルースタジアム前(1)","","33.227","130.26985","1011050-10","","0","1011050","",""
"1011049-10","","今津下町(1)","","33.23011","130.2724","1011049-10","","0","1011049","",""
"1011048-10","","今津上町(1)","","33.23246","130.27426","1011048-10","","0","1011048","",""
"1011047-10","","中村(1)","","33.2357","130.2767","1011047-10","","0","1011047","",""
"1011046-10","","平松(1)","","33.23923","130.27895","1011046-10","","0","1011046","",""
"1011045-10","","本庄宮前(1)","","33.24212","130.28094","1011045-10","","0","1011045","",""
"1011044-20","","ちやの木(2)","","33.24376","130.28412","1011044-20","","0","1011044","",""
"1002009-20","","佐嘉神社前(2)","","33.251064","130.30207","1002009-20","","0","1002009","",""
"1011039-06","","片田江(6)[片田江西]","","33.251407","130.305366","1011039-06","","0","1011039","",""
"1011038-10","","呉服元町(1)","","33.254591","130.305372","1011038-10","","0","1011038","",""
"1011037-10","","大財町(1)","","33.257996","130.304587","1011037-10","","0","1011037","",""
"1011036-10","","戸上電機前(1)","","33.261887","130.303577","1011036-10","","0","1011036","",""
"1011035-10","","市役所南(1)","","33.262689","130.302003","1011035-10","","0","1011035","",""
"1003018-02","","佐賀大学前(2)","","33.24403","130.29375","1003018-02","","0","1003018","",""
"1012057-20","","佐賀大学東(2)","","33.24168","130.29431","1012057-20","","0","1012057","",""
"1012058-20","","なゆたの森病院前(2)","","33.23708","130.29425","1012058-20","","0","1012058","",""
"1012059-20","","本庄小学校前(2)","","33.23542","130.29381","1012059-20","","0","1012059","",""
"1012060-20","","本庄公民館前(2)","","33.23333","130.29384","1012060-20","","0","1012060","",""
"1012061-20","","鹿の子団地(2)","","33.23013","130.29398","1012061-20","","0","1012061","",""
"1012062-20","","鹿の子(2)","","33.22601","130.29424","1012062-20","","0","1012062","",""
"1012063-20","","鹿の子宮前(2)","","33.22184","130.29453","1012063-20","","0","1012063","",""
"1012064-20","","上古賀(2)","","33.2174","130.29291","1012064-20","","0","1012064","",""
"1012065-20","","下古賀(2)","","33.21346","130.29138","1012065-20","","0","1012065","",""
"1012066-20","","田中(2)","","33.21157","130.28831","1012066-20","","0","1012066","",""
"1012067-20","","東与賀支所前(2)","","33.20824","130.28726","1012067-20","","0","1012067","",""
"1012068-20","","東与賀郵便局前(2)","","33.2042","130.28619","1012068-20","","0","1012068","",""
"1012069-20","","作出(2)","","33.20152","130.28584","1012069-20","","0","1012069","",""
"1012070-20","","住吉(2)","","33.20119","130.27957","1012070-20","","0","1012070","",""
"1012071-20","","大野東(2)","","33.20237","130.27573","1012071-20","","0","1012071","",""
"1012072-20","","大野中(2)","","33.20281","130.27315","1012072-20","","0","1012072","",""
"1012073-00","","大野","","33.20308","130.27011","1012073-00","","0","1012073","",""
"1012072-10","","大野中(1)","","33.20282","130.27364","1012072-10","","0","1012072","",""
"1012071-10","","大野東(1)","","33.20226","130.27628","1012071-10","","0","1012071","",""
"1012070-10","","住吉(1)","","33.20123","130.2795","1012070-10","","0","1012070","",""
"1012069-10","","作出(1)","","33.20178","130.28583","1012069-10","","0","1012069","",""
"1012068-10","","東与賀郵便局前(1)","","33.20435","130.28616","1012068-10","","0","1012068","",""
"1012067-10","","東与賀支所前(1)","","33.20803","130.28725","1012067-10","","0","1012067","",""
"1012066-10","","田中(1)","","33.21119","130.28806","1012066-10","","0","1012066","",""
"1012065-10","","下古賀(1)","","33.21416","130.29161","1012065-10","","0","1012065","",""
"1012064-10","","上古賀(1)","","33.21756","130.29295","1012064-10","","0","1012064","",""
"1012063-10","","鹿の子宮前(1)","","33.22204","130.29453","1012063-10","","0","1012063","",""
"1012062-10","","鹿の子(1)","","33.22646","130.29414","1012062-10","","0","1012062","",""
"1012061-10","","鹿の子団地(1)","","33.22944","130.29401","1012061-10","","0","1012061","",""
"1012060-10","","本庄公民館前(1)","","33.23225","130.29376","1012060-10","","0","1012060","",""
"1012059-10","","本庄小学校前(1)","","33.23552","130.29362","1012059-10","","0","1012059","",""
"1012058-10","","なゆたの森病院前(1)","","33.23751","130.29411","1012058-10","","0","1012058","",""
"1012057-10","","佐賀大学東(1)","","33.24156","130.29396","1012057-10","","0","1012057","",""
"1018074-20","","長瀬町(2)","","33.247879","130.282472","1018074-20","","0","1018074","",""
"1018075-20","","地蔵前(2)","","33.246404","130.27735","1018075-20","","0","1018075","",""
"1018076-20","","普門寺(2)","","33.245706","130.274086","1018076-20","","0","1018076","",""
"1018077-20","","高橋(2)","","33.245314","130.272213","1018077-20","","0","1018077","",""
"1018078-20","","扇町東(2)","","33.244579","130.268005","1018078-20","","0","1018078","",""
"1018079-00","","扇町","","33.243948","130.263659","1018079-00","","0","1018079","",""
"1018080-01","","嘉瀬元町(1)","","33.243206","130.258568","1018080-01","","0","1018080","",""
"1018081-20","","森林公園東(2)","","33.242372","130.251781","1018081-20","","0","1018081","",""
"1018082-20","","森林公園前(2)","","33.242569","130.249887","1018082-20","","0","1018082","",""
"1018083-20","","嘉瀬橋(2)","","33.247333","130.240695","1018083-20","","0","1018083","",""
"1018084-03","","徳万(3)","","33.24794","130.23764","1018084-03","","0","1018084","",""
"1018085-20","","元小路(2)","","33.24189","130.23767","1018085-20","","0","1018085","",""
"1018086-20","","中副(2)","","33.23952","130.23799","1018086-20","","0","1018086","",""
"1018087-20","","思斉館前(2)","","33.23375","130.23943","1018087-20","","0","1018087","",""
"1001402-01","","久保田支所前（1）","","33.232076","130.239873","1001402-01","","0","1001402","",""
"1018088-00","","横江","","33.22612","130.24089","1018088-00","","0","1018088","",""
"1018089-20","","久富西(2)","","33.22044","130.24173","1018089-20","","0","1018089","",""
"1018089-10","","久富西(1)","","33.22029","130.24165","1018089-10","","0","1018089","",""
"1001402-02","","久保田支所前（2）","","33.231926","130.239736","1001402-02","","0","1001402","",""
"1018087-10","","思斉館前(1)","","33.23378","130.23935","1018087-10","","0","1018087","",""
"1018086-10","","中副(1)","","33.23941","130.237836","1018086-10","","0","1018086","",""
"1018085-10","","元小路(1)","","33.24169","130.23752","1018085-10","","0","1018085","",""
"1018084-04","","徳万(4)","","33.2478","130.2375","1018084-04","","0","1018084","",""
"1018083-10","","嘉瀬橋(1)","","33.247541","130.24056","1018083-10","","0","1018083","",""
"1018082-10","","森林公園前(1)","","33.242911","130.249199","1018082-10","","0","1018082","",""
"1018081-10","","森林公園東(1)","","33.242462","130.251835","1018081-10","","0","1018081","",""
"1018080-03","","嘉瀬元町(3)","","33.242856","130.256616","1018080-03","","0","1018080","",""
"1018078-10","","扇町東(1)","","33.244415","130.266433","1018078-10","","0","1018078","",""
"1018077-10","","高橋(1)","","33.245147","130.270842","1018077-10","","0","1018077","",""
"1018076-10","","普門寺(1)","","33.245655","130.273292","1018076-10","","0","1018076","",""
"1018075-10","","地蔵前(1)","","33.246535","130.277491","1018075-10","","0","1018075","",""
"1018074-10","","長瀬町(1)","","33.248191","130.283375","1018074-10","","0","1018074","",""
"1019091-00","","医療センター好生館","","33.241555","130.267985","1019091-00","","0","1019091","",""
"1020092-00","","水ヶ江大通り","","33.24954","130.30637","1020092-00","","0","1020092","",""
